Minute	Att_Channel-1	Att_Channel-2	Att_Channel-3	Att_Channel-4
00:00	0.7967	0.5223	0.5116	0.0024
00:01	0.8081	0.5373	0.4936	0.0000
00:02	0.8065	0.5466	0.5011	0.0009
00:03	0.8087	0.5443	0.5306	0.0074
00:04	0.7892	0.5158	0.5326	0.0037
00:05	0.8095	0.5178	0.5385	0.0076
00:06	0.8065	0.5492	0.5184	0.0017
00:07	0.8079	0.5624	0.5390	0.0029
00:08	0.8313	0.5236	0.5484	0.0146
00:09	0.8161	0.5795	0.5532	0.0230
00:10	0.8202	0.5594	0.5410	0.0046
00:11	0.7734	0.5672	0.5170	0.0075
00:12	0.7598	0.5642	0.5218	0.0032
00:13	0.7272	0.4993	0.5004	0.0184
00:14	0.7205	0.5609	0.5348	0.0134
00:15	0.7238	0.5402	0.5283	0.0185
00:16	0.7119	0.5375	0.5277	0.0032
00:17	0.7384	0.5971	0.5312	0.0136
00:18	0.7365	0.5283	0.5344	0.0131
00:19	0.7211	0.5032	0.5316	0.0083
00:20	0.7516	0.5536	0.5356	0.0106
00:21	0.7757	0.5418	0.5419	0.0164
00:22	0.7547	0.5078	0.5283	0.0137
00:23	0.7367	0.5290	0.5356	0.0143
00:24	0.7368	0.5589	0.5418	0.0047
00:25	0.7308	0.5124	0.5421	0.0137
00:26	0.7304	0.5582	0.5250	0.0153
00:27	0.7450	0.6016	0.5356	0.0142
00:28	0.7386	0.5897	0.5203	0.0069
00:29	0.7286	0.5909	0.5640	0.0287
00:30	0.7166	0.5024	0.5254	0.0169
00:31	0.7712	0.5611	0.5844	0.0357
00:32	0.7122	0.5610	0.5517	0.0170
00:33	0.7227	0.5382	0.5539	0.0176
00:34	0.7264	0.5677	0.5823	0.0342
00:35	0.6538	0.6116	0.5446	0.0210
00:36	0.6466	0.6122	0.5890	0.0391
00:37	0.6458	0.5381	0.5539	0.0347
00:38	0.6295	0.5843	0.5879	0.0455
00:39	0.6293	0.5593	0.5718	0.0279
00:40	0.6374	0.5698	0.5793	0.0311
00:41	0.6113	0.5816	0.5628	0.0132
00:42	0.5932	0.5796	0.5656	0.0109
00:43	0.6133	0.5686	0.5898	0.0250
00:44	0.5980	0.5594	0.5788	0.0377
00:45	0.5838	0.6095	0.5788	0.0233
00:46	0.5554	0.5531	0.5628	0.0231
00:47	0.6058	0.5156	0.5701	0.0408
00:48	0.5841	0.5520	0.5762	0.0287
00:49	0.5899	0.5844	0.5738	0.0250
00:50	0.5994	0.5742	0.5816	0.0437
00:51	0.6218	0.6090	0.5961	0.0449
00:52	0.5848	0.6203	0.5964	0.0309
00:53	0.5862	0.5680	0.5661	0.0302
00:54	0.5956	0.6125	0.5898	0.0436
00:55	0.5955	0.5814	0.5842	0.0584
00:56	0.6087	0.6078	0.5883	0.0529
00:57	0.6150	0.5982	0.5845	0.0365
00:58	0.6097	0.5957	0.5798	0.0361
00:59	0.6071	0.6087	0.6031	0.0433
01:00	0.6222	0.6143	0.6034	0.0501
01:01	0.6181	0.6021	0.5993	0.0463
01:02	0.6390	0.5644	0.5688	0.0305
01:03	0.6688	0.5646	0.5940	0.0421
01:04	0.6741	0.5702	0.5930	0.0501
01:05	0.6970	0.6186	0.5738	0.0577
01:06	0.6911	0.5923	0.5764	0.0490
01:07	0.7367	0.6056	0.5652	0.0436
01:08	0.7518	0.5596	0.5627	0.0535
01:09	0.7492	0.5397	0.5724	0.0463
01:10	0.7554	0.5449	0.5495	0.0501
01:11	0.7538	0.5748	0.5603	0.0514
01:12	0.7851	0.5656	0.5532	0.0503
01:13	0.7697	0.5565	0.5509	0.0536
01:14	0.7688	0.5583	0.5266	0.0479
01:15	0.7764	0.5793	0.5417	0.0495
01:16	0.7924	0.5872	0.5398	0.0588
01:17	0.7786	0.5649	0.5296	0.0573
01:18	0.8082	0.5387	0.5067	0.0503
01:19	0.8021	0.5533	0.5159	0.0463
01:20	0.7863	0.4949	0.5122	0.0568
01:21	0.8029	0.5087	0.4981	0.0541
01:22	0.7829	0.5533	0.5250	0.0783
01:23	0.7765	0.5080	0.5099	0.0580
01:24	0.7571	0.4577	0.4832	0.0515
01:25	0.8194	0.5144	0.5037	0.0558
01:26	0.8471	0.5769	0.5275	0.0870
01:27	0.8308	0.5434	0.5267	0.0821
01:28	0.8403	0.5323	0.5092	0.0800
01:29	0.8499	0.5514	0.5243	0.0720
01:30	0.8151	0.5867	0.5442	0.1063
01:31	0.8048	0.5441	0.5417	0.1067
01:32	0.8057	0.5204	0.5148	0.0810
01:33	0.8093	0.5602	0.5169	0.0936
01:34	0.8077	0.5320	0.5174	0.0981
01:35	0.8107	0.5076	0.5135	0.0908
01:36	0.8310	0.5176	0.5206	0.0989
01:37	0.8378	0.5671	0.5403	0.1133
01:38	0.8488	0.5801	0.5421	0.1167
01:39	0.8550	0.5273	0.5143	0.0982
01:40	0.8433	0.4957	0.5111	0.0792
01:41	0.8481	0.5321	0.5196	0.0928
01:42	0.8757	0.4946	0.5003	0.1041
01:43	0.8578	0.4946	0.4971	0.0909
01:44	0.8789	0.5235	0.5078	0.1015
01:45	0.8571	0.5318	0.4755	0.0830
01:46	0.8730	0.5478	0.5032	0.0970
01:47	0.8778	0.5114	0.5119	0.1220
01:48	0.8606	0.4802	0.4823	0.0948
01:49	0.8314	0.4609	0.4866	0.0807
01:50	0.8384	0.5175	0.4999	0.0934
01:51	0.8673	0.5390	0.4924	0.0987
01:52	0.8482	0.4953	0.4850	0.0990
01:53	0.8761	0.5508	0.5235	0.1307
01:54	0.8906	0.5563	0.5338	0.1351
01:55	0.8723	0.5259	0.5060	0.1248
01:56	0.8639	0.5273	0.5043	0.1153
01:57	0.8444	0.5658	0.5049	0.1301
01:58	0.8511	0.5004	0.4677	0.1043
01:59	0.8599	0.5107	0.5015	0.1237
02:00	0.9037	0.4727	0.5045	0.1422
02:01	0.8256	0.5117	0.4960	0.1177
02:02	0.8774	0.5060	0.4980	0.1227
02:03	0.8959	0.5525	0.5049	0.1548
02:04	0.9103	0.5327	0.4946	0.1237
02:05	0.9046	0.4727	0.5037	0.1437
02:06	0.9089	0.5054	0.4933	0.1459
02:07	0.9024	0.5323	0.5024	0.1347
02:08	0.9115	0.5388	0.4988	0.1490
02:09	0.8766	0.4966	0.5012	0.1442
02:10	0.8843	0.5311	0.5017	0.1559
02:11	0.9025	0.5066	0.4809	0.1386
02:12	0.8883	0.4796	0.4589	0.1450
02:13	0.9050	0.4425	0.4528	0.1456
02:14	0.8948	0.4912	0.4593	0.1583
02:15	0.9007	0.4730	0.4525	0.1476
02:16	0.9076	0.4906	0.4727	0.1536
02:17	0.8862	0.5091	0.4682	0.1429
02:18	0.8810	0.4668	0.4565	0.1650
02:19	0.8916	0.4486	0.4588	0.1435
02:20	0.8892	0.4602	0.4469	0.1488
02:21	0.8971	0.5136	0.4728	0.1644
02:22	0.8965	0.4726	0.4588	0.1535
02:23	0.8590	0.4937	0.4686	0.1449
02:24	0.8773	0.4892	0.4662	0.1460
02:25	0.8960	0.4830	0.4671	0.1739
02:26	0.8468	0.4732	0.4468	0.1682
02:27	0.9017	0.4910	0.4386	0.1648
02:28	0.8726	0.4353	0.4422	0.1692
02:29	0.8734	0.4012	0.4229	0.1626
02:30	0.8883	0.4204	0.4371	0.1765
02:31	0.8727	0.4795	0.4330	0.1832
02:32	0.8845	0.4829	0.4503	0.1804
02:33	0.8860	0.4343	0.4458	0.1814
02:34	0.8778	0.4558	0.4594	0.1855
02:35	0.8938	0.4742	0.4411	0.1829
02:36	0.9087	0.4694	0.4491	0.1841
02:37	0.8874	0.4469	0.4409	0.1910
02:38	0.8949	0.4516	0.4509	0.2087
02:39	0.8744	0.4421	0.4333	0.1839
02:40	0.8867	0.4664	0.4406	0.1802
02:41	0.9041	0.5037	0.4675	0.2061
02:42	0.8794	0.4481	0.4262	0.1864
02:43	0.8567	0.4817	0.4402	0.1973
02:44	0.8765	0.4475	0.4510	0.2084
02:45	0.8590	0.4705	0.4310	0.1983
02:46	0.8559	0.4301	0.3973	0.1755
02:47	0.8611	0.4220	0.4196	0.2045
02:48	0.8885	0.4474	0.4006	0.1965
02:49	0.8877	0.4764	0.4404	0.2118
02:50	0.8825	0.4268	0.4307	0.2042
02:51	0.8839	0.4342	0.4118	0.2015
02:52	0.9096	0.4108	0.4203	0.2152
02:53	0.8975	0.4103	0.4171	0.2158
02:54	0.8906	0.4510	0.4026	0.2052
02:55	0.8829	0.4192	0.3941	0.1990
02:56	0.9033	0.4151	0.4129	0.2132
02:57	0.8935	0.4441	0.3980	0.2051
02:58	0.8872	0.4316	0.4132	0.2077
02:59	0.9083	0.4359	0.4115	0.2279
03:00	0.9066	0.4653	0.4266	0.2209
03:01	0.8976	0.4085	0.3992	0.2205
03:02	0.8820	0.3950	0.3879	0.1954
03:03	0.8966	0.4280	0.3895	0.2140
03:04	0.8911	0.4223	0.4020	0.2142
03:05	0.8992	0.4118	0.4071	0.2248
03:06	0.8582	0.4081	0.3630	0.2077
03:07	0.8715	0.4121	0.3979	0.2277
03:08	0.8870	0.4425	0.3956	0.2417
03:09	0.9029	0.4342	0.4175	0.2519
03:10	0.8749	0.4455	0.3454	0.2198
03:11	0.8441	0.3837	0.3647	0.2382
03:12	0.9303	0.3913	0.3853	0.2320
03:13	0.8813	0.3708	0.3597	0.2236
03:14	0.8794	0.4221	0.3797	0.2280
03:15	0.8622	0.3747	0.3528	0.2272
03:16	0.9168	0.3911	0.3710	0.2403
03:17	0.9166	0.3671	0.3545	0.2337
03:18	0.9139	0.3960	0.3622	0.2561
03:19	0.9333	0.4777	0.4020	0.2792
03:20	0.9203	0.3913	0.3578	0.2581
03:21	0.9325	0.3612	0.3302	0.2444
03:22	0.8995	0.3548	0.3206	0.2585
03:23	0.9228	0.3771	0.3489	0.2388
03:24	0.9036	0.3488	0.3461	0.2479
03:25	0.9146	0.3718	0.3392	0.2574
03:26	0.9277	0.3704	0.3510	0.2720
03:27	0.9224	0.3909	0.3416	0.2630
03:28	0.9140	0.3533	0.3320	0.2614
03:29	0.9384	0.3667	0.3439	0.2637
03:30	0.9360	0.3754	0.3326	0.2602
03:31	0.9374	0.3483	0.3318	0.2816
03:32	0.9335	0.3251	0.3057	0.2688
03:33	0.9035	0.3367	0.3059	0.2660
03:34	0.9156	0.3355	0.3272	0.2666
03:35	0.9190	0.3729	0.3355	0.2772
03:36	0.9191	0.3640	0.3213	0.2733
03:37	0.9057	0.3251	0.3136	0.2696
03:38	0.9389	0.4137	0.3385	0.2905
